SCLK,LMST,LTST,SOLAR_LONGITUDE_ANGLE,SOLAR_ZENITHAL_ANGLE,ROVER_POSITION_X,ROVER_POSITION_Y,ROVER_POSITION_Z,ROVER_VELOCITY,ROVER_PITCH,ROVER_YAW,ROVER_ROLL,MASTHEAD_AZIMUTH,MASTHEAD_ELEVATION
668366333.5,00016M13:59:49.914,0016 13:27:26,118.44,24.92,34.59,-18.85,-0.30,128.66,2.07,71.56,0.46,,
668366334,00016M13:59:50.401,0016 13:27:26,118.44,24.92,34.60,-18.87,-0.30,128.66,2.06,71.56,0.47,,
668366334.5,00016M13:59:50.888,0016 13:27:27,118.43,24.92,34.60,-18.88,-0.30,128.66,2.06,71.56,0.47,,
668366335,00016M13:59:51.374,0016 13:27:27,118.43,24.92,34.61,-18.90,-0.30,128.66,2.06,71.55,0.48,,
668366335.5,00016M13:59:51.861,0016 13:27:28,118.43,24.92,34.61,-18.92,-0.30,128.66,2.05,71.55,0.48,,
668366336,00016M13:59:52.347,0016 13:27:28,118.43,24.93,34.62,-18.94,-0.30,128.66,2.05,71.55,0.49,,
668366336.5,00016M13:59:52.834,0016 13:27:29,118.42,24.93,34.62,-18.95,-0.30,128.66,2.05,71.54,0.50,,
668366337,00016M13:59:53.321,0016 13:27:29,118.42,24.93,34.63,-18.97,-0.30,128.66,2.04,71.54,0.50,,
668366337.5,00016M13:59:53.807,0016 13:27:30,118.42,24.93,34.64,-18.99,-0.30,128.66,2.04,71.54,0.51,,
668366338,00016M13:59:54.294,0016 13:27:30,118.42,24.93,34.64,-19.00,-0.30,128.66,2.04,71.54,0.51,,
668366338.5,00016M13:59:54.781,0016 13:27:31,118.41,24.93,34.65,-19.02,-0.29,128.66,2.03,71.53,0.52,,
668366339,00016M13:59:55.267,0016 13:27:31,118.41,24.94,34.65,-19.04,-0.29,128.66,2.03,71.53,0.53,,
668366339.5,00016M13:59:55.754,0016 13:27:32,118.41,24.94,34.66,-19.05,-0.29,128.66,2.02,71.53,0.53,,
668366340,00016M13:59:56.240,0016 13:27:32,118.41,24.94,34.66,-19.07,-0.29,128.66,2.02,71.52,0.54,,
668366340.5,00016M13:59:56.727,0016 13:27:33,118.40,24.94,34.67,-19.09,-0.29,128.66,2.02,71.52,0.54,,
668366341,00016M13:59:57.214,0016 13:27:33,118.40,24.94,34.67,-19.10,-0.29,128.66,2.01,71.52,0.55,,
668366341.5,00016M13:59:57.700,0016 13:27:34,118.40,24.94,34.68,-19.12,-0.29,128.66,2.01,71.52,0.56,,
668366342,00016M13:59:58.187,0016 13:27:34,118.39,24.95,34.69,-19.14,-0.29,128.66,2.01,71.51,0.56,,
668366342.5,00016M13:59:58.674,0016 13:27:35,118.39,24.95,34.69,-19.16,-0.29,128.66,2.00,71.51,0.57,,
668366343,00016M13:59:59.160,0016 13:27:35,118.39,24.95,34.70,-19.17,-0.29,128.66,2.00,71.51,0.58,,
668366343.5,00016M13:59:59.647,0016 13:27:35,118.39,24.95,34.70,-19.19,-0.29,128.66,1.99,71.50,0.58,,
668366344,00016M14:00:00.133,0016 13:27:36,118.38,24.95,34.71,-19.21,-0.29,128.66,1.99,71.50,0.59,,
668366344.5,00016M14:00:00.620,0016 13:27:36,118.38,24.95,34.71,-19.22,-0.29,128.66,1.99,71.50,0.59,,
668366345,00016M14:00:01.107,0016 13:27:37,118.38,24.96,34.72,-19.24,-0.29,128.66,1.98,71.49,0.60,,
668366345.5,00016M14:00:01.593,0016 13:27:37,118.38,24.96,34.73,-19.26,-0.29,128.66,1.98,71.49,0.61,,
668366346,00016M14:00:02.080,0016 13:27:38,118.37,24.96,34.73,-19.27,-0.29,128.66,1.98,71.49,0.61,,
668366346.5,00016M14:00:02.567,0016 13:27:38,118.37,24.96,34.74,-19.29,-0.29,128.66,1.97,71.49,0.62,,
